"LIBRARYREFERENCE","FOOTPRINT1","FOOTPRINT2","COMMENT","CURRENT","MANUFACTURER","MANUFACTURER PART NUMBER","MOUNT TYPE","POWER","SUPPLIER 1","SUPPLIER 2","SUPPLIER 3","SUPPLIER 4","SUPPLIER 5","SUPPLIER 6","SUPPLIER 7","SUPPLIER PART NUMBER 1","SUPPLIER PART NUMBER 2","SUPPLIER PART NUMBER 3","SUPPLIER PART NUMBER 4","SUPPLIER PART NUMBER 5","SUPPLIER PART NUMBER 6","SUPPLIER PART NUMBER 7","TOLERANCE","VALUE","SHEETPART","DESIGNATOR","DESCRIPTION"
"RC0603FR-0710KL","R0603_MD","","RC0603FR-0710KL","","Yageo","","SMD","1/10W","Farnell","Digi-Key","Arrow","","","","","9238603","311-10.0KHRCT-ND","AU0-sWIvaB4Tntd5J2Z1I9YZNFHLNzH303eNL1WA4Wg","","","","","1%","10k","*","R?","RES SMD 10K OHM 1% 1/10W 0603"
"RC0603FR-07110KL","R0603_MD","","RC0603FR-07110KL","","Yageo","","SMD","1/10W","Digi-Key","Newark","","","","","","311-110KHRCT-ND","66R2012","","","","","","1%","110k","*","R?","RES SMD 110K OHM 1% 1/10W 0603"
"RC0603FR-0712K1L","R0603_MD","","RC0603FR-0712K1L","","Yageo","","SMD","1/10W","Arrow","Digi-Key","Newark","Farnell","","","","HHzeSBzlIW_mYajVGGYRQqPgGRpiB9Uyxh5OgbNP2XM","311-12.1KHRCT-ND","68R0055","1799324","","","","1%","12.1k","*","R?","RES SMD 12.1K OHM 1% 1/10W 0603"
"RC0603FR-0712KL","R0603_MD","","RC0603FR-0712KL","","Yageo","","SMD","1/10W","Digi-Key","Newark","","","","","","311-12.0KHRCT-ND","68R0054","","","","","","1%","12k","*","R?","RES SMD 12K OHM 1% 1/10W 0603"
"RC0603FR-0713K7L","R0603_MD","","RC0603FR-0713K7L","","Yageo","","SMD","1/10W","Digi-Key","Newark","","","","","","311-13.7KHRCT-ND","66R2038","","","","","","1%","13.7k","*","R?","RES SMD 13.7K OHM 1% 1/10W 0603"
"RC0603FR-07150KL","R0603_MD","","RC0603FR-07150KL","","Yageo","","SMD","1/10W","Digi-Key","","","","","","","311-150KHRCT-ND","","","","","","","1%","150k","*","R?","RES 150K OHM 1/10W 1% 0603 SMD"
"RC0603FR-07150RL","R0603_MD","","RC0603FR-07150RL","","Yageo","","SMD","1/10W","Digi-Key","Farnell","Newark","","","","","311-150HRCT-ND","9330593","61J5348","","","","","1%","150R","*","R?","RES SMD 150 OHM 1% 1/10W 0603"
"RC0603FR-0715K8L","R0603_MD","","RC0603FR-0715K8L","","Yageo","","SMD","1/10W","Digi-Key","Farnell","","","","","","311-15.8KHRCT-ND","1151707","","","","","","1%","15.8k","*","R?","RES SMD 15.8K OHM 1% 1/10W 0603"
"RC0603FR-0715RL","R0603_MD","","RC0603FR-0715RL","","Yageo","","SMD","1/10W","Digi-Key","Avnet","Newark","","","","","311-15.0HRCT-ND","RC0603FR-0715RL","66R2063","","","","","1%","15R","*","R?","RES SMD 15 OHM 1% 1/10W 0603"
"RC0603FR-0718K2L","R0603_MD","","RC0603FR-0718K2L","","Yageo","","SMD","1/10W","Digi-Key","Newark","","","","","","311-18.2KHRCT-ND","66R2097","","","","","","1%","18.2k","*","R?","RES SMD 18.2K OHM 1% 1/10W 0603"
"RC0603FR-0719K1L","R0603_MD","","RC0603FR-0719K1L","","Yageo","","SMD","1/10W","Mouser","Newark","Farnell","Digi-Key","","","","603-RC0603FR-0719K1L","66R2108","2059430","311-19.1KHRCT-ND","","","","1%","19.1k","*","R?","RES SMD 19.1K OHM 1% 1/10W 0603"
"RC0603FR-071K5L","R0603_MD","","RC0603FR-071K5L","","Yageo","","SMD","1/10W","Arrow","Digi-Key","Newark","","","","","HHzeSBzlIW_mYajVGGYRQn2Xj-ESVGBvckTnFyP0R1g","311-1.50KHRCT-ND","68R0045","","","","","1%","1.5k","*","R?","RES SMD 1.5K OHM 1% 1/10W 0603"
"RC0603FR-071M5L","R0603_MD","","RC0603FR-071M5L","","Yageo","","SMD","1/10W","Digi-Key","Newark","","","","","","311-1.50MHRCT-ND","66R1957","","","","","","1%","1.5M","*","R?","RES SMD 1.5M OHM 1% 1/10W 0603"
"RC0603FR-071M8L","R0603_MD","","RC0603FR-071M8L","","Yageo","","SMD","1/10W","Digi-Key","Newark","Farnell","","","","","YAG3328CT-ND","98K7371","9238875RL","","","","","1%","1.8M","*","R?","RES SMD 1.8M OHM 1% 1/10W 0603"
"RC0603FR-0720K5L","C0603_MD","","RC0603FR-0720K5L","","Yageo","","SMD","1/10W","Digi-Key","Newark","","","","","","311-20.5KHRCT-ND","66R2170","","","","","","1%","20.5k","*","R?","RES SMD 20.5K OHM 1% 1/10W 0603"
"RC0603FR-0720KL","R0603_HD","","RC0603FR-0720KL","","Yageo","","SMD","1/10W","Farnell","Newark","Digi-Key","","","","","2363477","66R2169","311-20.0KHRCT-ND","","","","","1%","20K","*","R?","RES SMD 20K OHM 1% 1/10W 0603"
"RC0603FR-07220KL","R0603_MD","","RC0603FR-07220KL","","Yageo","","SMD","1/10W","Digi-Key","Newark","","","","","","311-220KHRCT-ND","68R0074","","","","","","1%","220k","*","R?","RES SMD 220K OHM 1% 1/10W 0603"
"RC0603FR-07220RL","R0603_MD","","RC0603FR-07220RL","","Yageo","","SMD","1/10W","Digi-Key","Farnell","Arrow","","","","","311-220HRCT-ND","9238409","HHzeSBzlIW_mYajVGGYRQigCYnQrtHPfYft1lKssdx8","","","","","1%","220R","*","R?","RES SMD 220 OHM 1% 1/10W 0603"
"RC0603FR-0722K1L","R0603_MD","","RC0603FR-0722K1L","","Yageo","","SMD","1/10W","Newark","Digi-Key","Arrow","","","","","66R2187","311-22.1KHRCT-ND","HHzeSBzlIW_mYajVGGYRQr9taIMVA93vveaTfOT19rMZVywxIBNyoAQstvnyfZZ0","","","","","1%","22.1k","*","R?","RES SMD 22.1K OHM 1% 1/10W 0603"
"RC0603FR-0722KL","R0603_MD","","RC0603FR-0722KL","","Yageo","","SMD","1/10W","Digi-Key","Newark","Farnell","","","","","311-22.0KHRCT-ND","58K4530","2333537","","","","","1%","22k","*","R?","RES SMD 22K OHM 1% 1/10W 0603"
"RC0603FR-07240RL","R0603_MD","","RC0603FR-07240RL","","Yageo","","SMD","1/10W","Farnell","Digi-Key","Newark","","","","","9330860","311-240HRCT-ND","65T8389","","","","","1%","240R","*","R?","RES SMD 240 OHM 1% 1/10W 0603"
"RC0603FR-0727RL","R0603_MD","","RC0603FR-0727RL","","Yageo","","SMD","1/10W","Mouser","Newark","Digi-Key","Farnell","","","","603-RC0603FR-0727RL","66R2232","311-27.0HRCT-ND","2130730","","","","1%","27R","*","R?","RES SMD 27 OHM 1% 1/10W 0603"
"RC0603FR-072K2L","R0603_MD","","RC0603FR-072K2L","","Yageo","","SMD","1/10W","Digikey","Newark","Mouser","Arrow","Farnell","","","311-2.20KHRCT-ND","75X0144","603-RC0603FR-072K2L","RC0603FR-072K2L**MULT1","2136082","","","1%","2.2k","*","R?","RES SMD 2.2K OHM 1% 1/10W 0603"
"RC0603FR-072K7L","R0603_MD","","RC0603FR-072K7L","","Yageo","","SMD","1/10W","Arrow","Newark","Digi-Key","","","","","HHzeSBzlIW_mYajVGGYRQkL84V7MCFdKTFUraIhCcNo","68R0067","311-2.70KHRCT-ND","","","","","1%","2.7k","*","R?","RES SMD 2.7K OHM 1% 1/10W 0603"
"RC0603FR-07324KL","R0603_MD","","RC0603FR-07324KL","","Yageo","","SMD","1/10W","Avnet","Digi-Key","Newark","","","","","RC0603FR-07324KL","311-324KHRCT-ND","66R2310","","","","","1%","324k","*","R?","RES SMD 324K OHM 1% 1/10W 0603"
"RC0603FR-07330RL","R0603_MD","","RC0603FR-07330RL","","Yageo","","SMD","1/10W","Farnell","Arrow","Digi-Key","","","","","9238425","HHzeSBzlIW_mYajVGGYRQnDLuhF_x2Ikkf3cs_TpRP4","311-330HRCT-ND","","","","","1%","330R","*","R?","RES SMD 330 OHM 1% 1/10W 0603"
"RC0603FR-0737K4L","R0603_MD","","RC0603FR-0737K4L","","Yageo","","SMD","1/10W","Newark","Digi-Key","","","","","","66R2340","311-37.4KHRCT-ND","","","","","","1%","37.4k","*","R?","RES SMD 37.4K OHM 1% 1/10W 0603"
"RC0603FR-073K3L","R0603_MD","","RC0603FR-073K3L","","Yageo","","SMD","1/10W","Arrow","Digi-Key","Newark","","","","","HHzeSBzlIW_mYajVGGYRQn88kX5SQzszSdrR7gglU2M","311-3.30KHRCT-ND","68R0079","","","","","1%","3.3k","*","R?","RES SMD 3.3K OHM 1% 1/10W 0603"
"RC0603FR-073KL","R0603_HD","","RC0603FR-073KL","","Yageo","","SMD","1/10W","Farnell","Mouser","Digi-Key","","","","","2059357","603-RC0603FR-073KL","311-3.00KHRCT-ND","","","","","1%","3K","*","R?","RES SMD 3K OHM 1% 1/10W 0603"
"RC0603FR-0741K2L","R0603_MD","","RC0603FR-0741K2L","","Yageo","","SMD","1/10W","Newark","Digi-Key","","","","","","66R2389","311-41.2KHRCT-ND","","","","","","1%","41.2k","*","R?","RES SMD 41.2K OHM 1% 1/10W 0603"
"RC0603FR-07487KL","R0603_MD","","RC0603FR-07487KL","","Yageo","","SMD","1/10W","Avnet","Digi-Key","Newark","","","","","RC0603FR-07487KL","311-487KHRCT-ND","66R2427","","","","","1%","487k","*","R?","RES SMD 487K OHM 1% 1/10W 0603"
"RC0603FR-0749R9L","R0603_MD","","RC0603FR-0749R9L","","Yageo","","SMD","1/10W","Mouser","Arrow","Farnell","Newark","Digikey","","","603-RC0603FR-0749R9L","RC0603FR-0749R9L**MULT1","1799347","66R2430","311-49.9HRCT-ND","","","1%","49.9R","*","R?","RES SMD 49.9 OHM 1% 1/10W 0603"
"RC0603FR-074K7L","R0603_MD","","RC0603FR-074K7L","","Yageo","","SMD","1/10W","Arrow","Newark","Digi-Key","","","","","HHzeSBzlIW_mYajVGGYRQvG05_nEY1YAZaAflCnd6SY","68R0092","311-4.70KHRCT-ND","","","","","1%","4.7k","*","R?","RES SMD 4.7K OHM 1% 1/10W 0603"
"RC0603FR-074K99L","R0603_MD","","RC0603FR-074K99L","","Yageo","","SMD","1/10W","Digikey","Newark","Mouser","Arrow","Farnell","","","311-4.99KHRCT-ND","68R0094","603-RC0603FR-074K99L","RC0603FR-074K99L**MULT1","1799345","","","1%","4.99k","*","R?","RES SMD 4.99K OHM 1% 1/10W 0603"
"RC0603FR-0751KL","R0603_MD","","RC0603FR-0751KL","","Yageo","","SMD","1/10W","Digi-Key","Arrow","Newark","","","","","311-51.0KHRCT-ND","HHzeSBzlIW_mYajVGGYRQtp5nzfjQNtg0esC0K6iio0","68R0103","","","","","1%","51k","*","R?","RES SMD 51K OHM 1% 1/10W 0603"
"RC0603FR-0757K6L","R0603_MD","","RC0603FR-0757K6L","","Yageo","","SMD","1/10W","Avnet","Newark","Digi-Key","","","","","RC0603FR-0757K6L","66R2482","311-57.6KHRCT-ND","","","","","1%","57.6k","*","R?","RES SMD 57.6K OHM 1% 1/10W 0603"
"RC0603FR-0768KL","R0603_MD","","RC0603FR-0768KL","","Yageo","","SMD","1/10W","Digi-Key","Newark","Farnell","","","","","311-68.0KHRCT-ND","64R5360","9331468","","","","","1%","68k","*","R?","RES SMD 68K OHM 1% 1/10W 0603"
"RC0603FR-0768RL","R0603_MD","","RC0603FR-0768RL","","Yageo","","SMD","1/10W","Digi-Key","","","","","","","311-68.0HRCT-ND","","","","","","","1%","68R","*","R?","RES SMD 68 OHM 1% 1/10W 0603"
"RC0603FR-07750RL","R0603_MD","","RC0603FR-07750RL","","Yageo","","SMD","1/10W","Newark","Digi-Key","","","","","","18X9916","311-750HRCT-ND","","","","","","1%","750R","*","R?","RES SMD 750 OHM 1% 1/10W 0603"
"RC0603FR-0775KL","R0603_MD","","RC0603FR-0775KL","","Yageo","","SMD","1/10W","Newark","Arrow","Digi-Key","Farnell","","","","68R0114","HHzeSBzlIW_mYajVGGYRQpXKTQ75eT0WFuiUntOwmGU","311-75.0KHRCT-ND","1799354","","","","1%","75k","*","R?","RES SMD 75K OHM 1% 1/10W 0603"
"RC0603FR-0775RL","R0603_MD","","RC0603FR-0775RL","","Yageo","","SMD","1/10W","Arrow","Digi-Key","Farnell","Newark","","","","HHzeSBzlIW_mYajVGGYRQna1sjMVMLMu82gB_ISoFnM","311-75.0HRCT-ND","1799355","68R0115","","","","1%","75R","*","R?","RES SMD 75 OHM 1% 1/10W 0603"
"RC0603FR-077K68L","R0603_MD","","RC0603FR-077K68L","","Yageo","","SMD","1/10W","Digi-Key","Mouser","Farnell","","","","","311-7.68KHRCT-ND","603-RC0603FR-077K68L","2059396","","","","","1%","7.68k","*","R?","RES SMD 7.68K OHM 1% 1/10W 0603"
"RC0603FR-0788K7L","R0603_MD","","RC0603FR-0788K7L","","Yageo","","SMD","1/10W","Arrow","Digi-Key","Newark","","","","","HHzeSBzlIW_mYajVGGYRQgbbCCdSfTy-St_AYsEl7mA","311-88.7KHRCT-ND","66R2609","","","","","1%","88.7k","*","R?","RES SMD 88.7K OHM 1% 1/10W 0603"
"RC0603FR-0791KL","R0603_MD","","RC0603FR-0791KL","","Yageo","","SMD","1/10W","Mouser","Digi-Key","Farnell","Newark","","","","603-RC0603FR-0791KL","311-91.0KHRCT-ND","2131016","66R2628","","","","1%","91k","*","R?","RES SMD 91K OHM 1% 1/10W 0603"
"RC0603FR-0795K3L","R0603_MD","","RC0603FR-0795K3L","","Yageo","","SMD","1/10W","Digi-Key","Newark","Mouser","","","","","311-95.3KHRCT-ND","66R2636","603-RC0603FR-0795K3L","","","","","1%","95.3k","*","R?","RES 95.3K OHM 1/10W 1% 0603 SMD"
"RC0603FR-079K53L","R0603_MD","","RC0603FR-079K53L","","Yageo","","SMD","1/10W","Digi-Key","Newark","","","","","","311-9.53KHRCT-ND","66R2616","","","","","","1%","9.53k","*","R?","RES SMD 9.53K OHM 1% 1/10W 0603"
"RC0603JR-070RL","R0603_MD","","RC0603JR-070RL","","Yageo","","SMD","1/10W","Farnell","Newark","Digi-Key","Arrow","","","","2131805","02J2264","311-0.0GRCT-ND","NOOxXiZmuFFWwHGktAx6KZIE4j1Ts4yRWeDZ5n6Nj88","","","","1%","0R","*","R?","RES SMD 0.0OHM JUMPER 1/10W 0603"
"RC0805FR-07100KL","R0805_MD","","RC0805FR-07100KL","","Yageo","","SMD","1/8W","Digi-Key","Arrow","Farnell","Newark","Newark","Digi-Key","Digi-Key","311-100KCRTR-ND","1THYhGBE17xvTT38ZUOyjbO8tpcKgYeM4xD_RbZc9c4","9237879","68R0231","32K2766","311-100KCRCT-ND","311-100KCRDKR-ND","1%","100KR","*","R?","RES SMD 100K OHM 1% 1/8W 0805"
"RC0805FR-07562KL","R0805_HD","","RC0805FR-07562KL","","Yageo","","SMD","1/8W","Newark","Digi-Key","Digi-Key","Arrow","Newark","","","90W3480","311-562KCRDKR-ND","311-562KCRCT-ND","1THYhGBE17xvTT38ZUOyjQWduXql9hYH4jFjVK1DFSsZVywxIBNyoAQstvnyfZZ0","53K0355","","","1%","562KR","*","R?","RES SMD 562K OHM 1% 1/8W 0805"
"RC1206JR-071KL","R1206_MD","","RC1206JR-071KL","","Yageo","","SMD","1/4W","Digi-Key","Farnell","","","","","","311-1.0KERCT-ND","1799519","","","","","","5%","1k","*","R?","RES SMD 1K OHM 5% 1/4W 1206"
"RC1206JR-074R7L","R1206_MD","","RC1206JR-074R7L","","Yageo","","SMD","1/4W","Digi-Key","Arrow","Farnell","Digi-Key","","","","311-4.7ERDKR-ND","HmS-vphH2GbmSwc7gOw51FfJF8u_v-8n4GWYPJqMolo","1570831","311-4.7ERCT-ND","","","","5%","4.7R","*","R?","RES SMD 4.7 OHM 5% 1/4W 1206"
"RC1608F1872CS","R0603_MD","","RC1608F1872CS","","Samsung Electro-Mechanics America, Inc","","SMD","1/10W","Digi-Key","","","","","","","1276-3494-1-ND","","","","","","","1%","18.7k","*","R?","RES 18.7k OHM 1/10W 1% 0603"
"RC1608F2054CS","R0603_MD","","RC1608F2054CS","","Samsung Electro-Mechanics America, Inc","","SMD","1/10W","Digi-Key","","","","","","","1276-4946-1-ND","","","","","","","1%","2.05M","*","R?","RES 2.05M OHM 1/10W 1% 0603"
"RC1608F2153CS","R0603_MD","","RC1608F2153CS","","Samsung Electro-Mechanics America, Inc","","SMD","1/10W","Digi-Key","","","","","","","1276-4865-1-ND","","","","","","","1%","215k","*","R?","RES 215k OHM 1/10W 1% 0603"
"RC1608F3322CS","R0603_MD","","RC1608F3322CS","","Samsung Electro-Mechanics America, Inc","","SMD","1/10W","Digi-Key","","","","","","","1276-4790-1-ND","","","","","","","1%","33.2k","*","R?","RES 33.2K OHM 1/10W 1% 0603"
"RC1608F394CS","R0603_MD","","RC1608F394CS","","Samsung Electro-Mechanics America, Inc","","SMD","1/10W","Digi-Key","","","","","","","1276-4892-1-ND","","","","","","","1%","390k","*","R?","RES 390K OHM 1/10W 1% 0603"
"RC1608F5R1CS","R0603_MD","","RC1608F5R1CS","","Samsung Electro-Mechanics America, Inc.","","SMD","1/10W","Digi-Key","","","","","","","1276-4488-1-ND","","","","","","","1%","5.1R","*","R?","RES SMD 5.1 OHM 1% 1/10W 0603"
"RC1608F6491CS","R0603_MD","","RC1608F6491CS","","Samsung Electro-Mechanics America, Inc","","SMD","1/10W","Digi-Key","","","","","","","1276-4726-1-ND","","","","","","","1%","6.49k","*","R?","RES 6.49K OHM 1/10W 1% 0603"
"RC1608F912CS","R0603_MD","","RC1608F912CS","","Samsung Electro-Mechanics America, Inc","","SMD","1/10W","Newark","Digi-Key","","","","","","52K8760","1276-4741-1-ND","","","","","","1%","9.1k","*","R?","RES 9.1K OHM 1/10W 1% 0603"
"RC1608F9532CS","R0603_MD","","RC1608F9532CS","","Samsung Electro-Mechanics America, Inc","","SMD","1/10W","Digi-Key","","","","","","","1276-4838-1-ND","","","","","","","1%","95.3k","*","R?","RES 95.3k OHM 1/10W 1% 0603"
"RC1608J100CS","R0603_MD","","RC1608J100CS","","Samsung Electro-Mechanics America. Inc","","SMD","1/10W","Digi-Key","","","","","","","1276-5014-1-ND","","","","","","","5%","10R","*","R?","RES 10 OHM 1/10W 5% 0603 SMD"
"RC1608J153CS","R0603_MD","","RC1608J153CS","","Samsung Electro-Mechanics America. Inc","","SMD","1/10W","Digi-Key","","","","","","","1276-5090-1-ND","","","","","","","5%","15K","*","R?","RES 15K OHM 1/10W 5% 0603 SMD"
"RC2512JK-070RL","R2512_HD","","RC2512JK-070RL","","Yageo","","SMD","1W","Digi-Key","Farnell","","","","","","YAG1232CT-ND","2309110","","","","","","Jumper","0R","*","R?","RES SMD 0.0 OHM JUMPER 1W 2512"
"RCS06030000Z0EA","R0603_HD","","RCS06030000Z0EA","","Vishay Dale","","SMD","1/4W","Mouser","Digi-Key","","","","","","Anonymous Daily Limit Reached","541-2779-6-ND","","","","","","0%","0R","*","R?","RES SMD 0.0 OHM JUMPER 1/4W 0603"
"RHM1.50KADCT-ND","R0603_MD","","RHM1.50KADCT-ND","","Rohm Semiconductor","","SMD","1/4W","Digi-Key","Mouser","Avnet","","","","","RHM1.50KADCT-ND","755-ESR03EZPF1501","ESR03EZPF1501","","","","","1%","1.5k","*","R?","RES SMD 1.5K OHM 1% 1/4W 0603"
"RMCF0603FT100R","R0603_MD","","RMCF0603FT100R","","Stackpole Electronics Inc","","SMD","1/10W","Digi-Key","Newark","","","","","","RMCF0603FT100RCT-ND","52K8078","","","","","","1%","100R","*","R?","RES 100 OHM 1/10W 1% 0603"
"RMCF0603FT10K0","R0603_MD","","RMCF0603FT10K0","","Stackpole Electronics Inc","","SMD","1/10W","Newark","Digi-Key","","","","","","26R4043","RMCF0603FT10K0CT-ND","","","","","","1%","10k","*","R?","RES 10K OHM 1/10W 1% 0603"
"RMCF0603FT10M0","R0603_MD","","RMCF0603FT10M0","","Stackpole Electronics Inc","","SMD","1/10W","Digi-Key","Mouser","","","","","","RMCF0603FT10M0CT-ND","N/A","","","","","","1%","10M","*","R?","RES 10M OHM 1/10W 1% 0603"
"RMCF0603FT11K3","R0603_MD","","RMCF0603FT11K3","","Stackpole Electronics Inc","","SMD","1/10W","Newark","Digi-Key","","","","","","42K3677","RMCF0603FT11K3CT-ND","","","","","","1%","11.3k","*","R?","RES 11.3K OHM 1/10W 1% 0603"
"RMCF0603FT121K","R0603_MD","","RMCF0603FT121K","","Stackpole Electronics Inc","","SMD","1/10W","Newark","Digi-Key","","","","","","52K8115","RMCF0603FT121KCT-ND","","","","","","1%","121k","*","R?","RES 121K OHM 1/10W 1% 0603"
"RMCF0603FT19K6","R0603_MD","","RMCF0603FT19K6","","Stackpole Electronics Inc","","SMD","1/10W","Newark","Mouser","Digi-Key","","","","","52K8214","N/A","RMCF0603FT19K6CT-ND","","","","","1%","19.6k","*","R?","RES 19.6K OHM 1/10W 1% 0603"
"RMCF0603FT1K20","R0603_MD","","RMCF0603FT1K20","","Stackpole Electronics Inc","","SMD","1/10W","Digi-Key","Newark","","","","","","RMCF0603FT1K20CT-ND","52K8025","","","","","","1%","1.2k","*","R?","RES 1.2K OHM 1/10W 1% 0603"
"RMCF0603FT1K50","R0603_MD","","RMCF0603FT1K50","","Stackpole Electronics Inc","","SMD","1/10W","Digi-Key","Newark","","","","","","RMCF0603FT1K50CT-ND","52K8036","","","","","","1%","1.5k","*","R?","RES 1.5K OHM 1/10W 1% 0603"
"RMCF0603FT1M00","R0603_MD","","RMCF0603FT1M00","","Stackpole Electronics Inc","","SMD","1/10W","Digi-Key","","","","","","","RMCF0603FT1M00CT-ND","","","","","","","1%","1M","*","R?","RES 1M OHM 1/10W 1% 0603"
"RMCF0603FT2K00","R0603_MD","","RMCF0603FT2K00","","Stackpole Electronics Inc","","SMD","1/10W","Newark","Digi-Key","","","","","","52K8223","RMCF0603FT2K00CT-ND","","","","","","1%","2k","*","R?","RES 2K OHM 1/10W 1% 0603"
"RMCF0603FT2K80","R0603_MD","","RMCF0603FT2K80","","Stackpole Electronics Inc","","SMD","1/10W","Digi-Key","Newark","","","","","","RMCF0603FT2K80CT-ND","52K8245","","","","","","1%","2.8k","*","R?","RES 2.8K OHM 1/10W 1% 0603"
"RMCF0603FT33R0","R0603_MD","","RMCF0603FT33R0","","Stackpole Electronics Inc","","SMD","1/10W","Digi-Key","","","","","","","RMCF0603FT33R0CT-ND","","","","","","","1%","33R","*","R?","RES 33 OHM 1/10W 1% 0603"
"RMCF0603FT38K3","R0603_MD","","RMCF0603FT38K3","","Stackpole Electronics Inc","","SMD","1/10W","Newark","Digi-Key","","","","","","52K8469","RMCF0603FT38K3CT-ND","","","","","","1%","38.3k","*","R?","RES 38.3K OHM 1/10W 1% 0603"
"RMCF0603FT3K30","R0603_MD","","RMCF0603FT3K30","","Stackpole Electronics Inc","","SMD","1/10W","Digi-Key","Newark","","","","","","RMCF0603FT3K30CT-ND","52K8376","","","","","","1%","3.3k","*","R?","RES 3.3K OHM 1/10W 1% 0603"
"RMCF0603FT3K57","R0603_MD","","RMCF0603FT3K57","","Stackpole Electronics Inc","","SMD","1/10W","Digi-Key","Newark","","","","","","RMCF0603FT3K57CT-ND","89M6753","","","","","","1%","3.57k","*","R?","RES 3.57K OHM 1/10W 1% 0603"
"RMCF0603FT46K4","R0603_MD","","RMCF0603FT46K4","","Stackpole Electronics Inc","","SMD","1/10W","Digi-Key","","","","","","","RMCF0603FT46K4CT-ND","","","","","","","1%","46.4k","*","R?","RES 46.4K OHM 1/10W 1% 0603"
"RMCF0603FT470K","R0603_MD","","RMCF0603FT470K","","Stackpole Electronics Inc","","SMD","1/10W","Digi-Key","","","","","","","RMCF0603FT470KCT-ND","","","","","","","1%","470k","*","R?","RES 470K OHM 1/10W 1% 0603"
"RMCF0603FT47K0","R0603_MD","","RMCF0603FT47K0","","Stackpole Electronics Inc","","SMD","1/10W","Digi-Key","","","","","","","RMCF0603FT47K0CT-ND","","","","","","","1%","47k","*","R?","RES 47K OHM 1/10W 1% 0603"
"RMCF0603FT47R0","R0603_MD","","RMCF0603FT47R0","","Stackpole Electronics Inc","","SMD","1/10W","Digi-Key","","","","","","","RMCF0603FT47R0CT-ND","","","","","","","1%","47R","*","R?","RES 47 OHM 1/10W 1% 0603"
"RMCF0603FT4K70","R0603_MD","","RMCF0603FT4K70","","Stackpole Electronics Inc","","SMD","1/10W","Digi-Key","","","","","","","RMCF0603FT4K70CT-ND","","","","","","","1%","4.7k","*","R?","RES 4.7K OHM 1/10W 1% 0603"
"RMCF0603FT51K0","R0603_MD","","RMCF0603FT51K0","","Stackpole Electronics Inc","","SMD","1/10W","Digi-Key","","","","","","","RMCF0603FT51K0CT-ND","","","","","","","1%","51k","*","R?","RES SMD 51K OHM 1% 1/10W 0603"
"RMCF0603FT560K","R0603_MD","","RMCF0603FT560K","","Stackpole Electronics Inc","","SMD","1/10W","Digi-Key","","","","","","","RMCF0603FT560KCT-ND","","","","","","","1%","560k","*","R?","RES 560K OHM 1/10W 1% 0603"
"RMCF0603FT56K0","R0603_MD","","RMCF0603FT56K0","","Stackpole Electronics Inc","","SMD","1/10W","Digi-Key","","","","","","","RMCF0603FT56K0CT-ND","","","","","","","1%","56k","*","R?","RES 56K OHM 1/10W 1% 0603"
"RMCF0603FT5K10","R0603_MD","","RMCF0603FT5K10","","Stackpole Electronics Inc","","SMD","1/10W","Digi-Key","","","","","","","RMCF0603FT5K10CT-ND","","","","","","","1%","5.1k","*","R?","RES 5.1K OHM 1/10W 1% 0603"
"RMCF0603FT620R","R0603_MD","","RMCF0603FT620R","","Stackpole Electronics Inc","","SMD","1/10W","Digi-Key","","","","","","","RMCF0603FT620RCT-ND","","","","","","","1%","620R","*","R?","RES 620 OHM 1/10W 1% 0603"
"RMCF0603FT8K20","R0603_MD","","RMCF0603FT8K20","","Stackpole Electronics Inc","","SMD","1/10W","Newark","Digi-Key","","","","","","52K8724","RMCF0603FT8K20CT-ND","","","","","","1%","8.2k","*","R?","RES 8.2K OHM 1/10W 1% 0603"
"RMCF0603FT8K87","R0603_MD","","RMCF0603FT8K87","","Stackpole Electronics Inc","","SMD","1/10W","Digi-Key","Newark","","","","","","RMCF0603FT8K87CT-ND","52K8730","","","","","","1%","8.87k","*","R?","RES 8.87K OHM 1/10W 1% 0603"
"RMCF0805JT4R70","R0805_HD","","RMCF0805JT4R70","","Stackpole Electronics Inc.","","SMD","1/8W","Farnell","Newark","Digi-Key","","","","","1514865","59M6913","RMCF0805JT4R70CT-ND","","","","","5%","4.7R","*","R?","RES SMD 4.7 OHM 5% 1/8W 0805"
"RMCF0805ZT0R00","R0805_MD","","RMCF0805ZT0R00","","Stackpole Electronics Inc","","SMD","1/8W","Newark","Digi-Key","","","","","","79M6013","RMCF0805ZT0R00CT-ND","","","","","","1%","0R","*","R?","RES 0.0 OHM 1/8W JUMP 0805"
"RMCF2010JT1K80","R2010_MD","","RMCF2010JT1K80","","Stackpole Electronics Inc","","SMD","3/4W","Digi-Key","","","","","","","RMCF2010JT1K80CT-ND","","","","","","","5%","1k8","*","R?","RES 1.8K OHM 3/4W 5% 2010"
"RNCP0603FTD1K00","R0603_MD","","RNCP0603FTD1K00","","Stackpole Electronics Inc","","SMD","1/8W","Digi-Key","","","","","","","RNCP0603FTD1K00CT-ND","","","","","","","1%","1k","*","R?","RES 1K OHM 1/8W 1% 0603"
"RNCP0603FTD9K09","R0603_MD","","RNCP0603FTD9K09","","Stackpole Electronics Inc","","SMD","1/8W","Digi-Key","","","","","","","RNCP0603FTD9K09CT-ND","","","","","","","1%","9.09k","*","R?","RES 9.09K OHM 1/8W 1% 0603"
