"LIBRARYREFERENCE","FOOTPRINT1","FOOTPRINT2","CATEGORY","CLASS","COMMENT","DIELECTRIC","DIELETRIC","MANUFACTURER","MOUNT TYPE","SUPPLIER 1","SUPPLIER 2","SUPPLIER 3","SUPPLIER 4","SUPPLIER 5","SUPPLIER PART NUMBER","SUPPLIER PART NUMBER 1","SUPPLIER PART NUMBER 2","SUPPLIER PART NUMBER 3","SUPPLIER PART NUMBER 4","SUPPLIER PART NUMBER 5","TOLERANCE","VALUE","VOLTAGE","SHEETPART","DESIGNATOR","DESCRIPTION"
"CL10C471JB8NNNC","C0603_MD","","Ceramic","","CL10C471JB8NNNC","C0G","","Samsung Electro-Mechanics America, Inc.","SMD","Arrow","Digi-Key","","","","","CL10C471JB8NNNC**MULT1","1276-1168-1-ND","","","","","470pF","50V","*","C?","CAP CER 470PF 50V C0G/NP0 0603"
"CL10C4R7CB8NNNC","C0603_MD","","Ceramic","","CL10C4R7CB8NNNC","*","","Samsung Electro-Mechanics America, Inc","SMD","Digi-Key","","","","","","1276-1282-1-ND","","","","","","4.7pF","16V","*","C?","CAP CER 4.7PF 50V NP0 0603"
"CL10C680JB8NCNC","C0603_MD","","Ceramic","","CL10C680JB8NCNC","C0G","","Samsung Electro-Mechanics America, Inc.","SMD","Digi-Key","","","","","","1276-2324-1-ND","","","","","","68pF","50V","*","C?","CAP CER 68PF 50V C0G/NP0 0603"
"CL10F104ZA8NNNC","C0603_MD","","Ceramic","","CL10F104ZA8NNNC","*","","Samsung  Electro-Mechanics America. Inc","SMD","Digi-Key","","","","","","1276-1011-1-ND","","","","","","100nF","25V","*","C?","CAP CER 0.1UF 25V Y5V 0603"
"CL10F474ZB8NNNC","C0603_MD","","Ceramic","","CL10F474ZB8NNNC","Y5R","","Samsung Electro-Mechanics America, Inc","SMD","Digi-Key","","","","","","1276-2377-1-ND","","","","","","0.47uF","50V","*","C?","CAP CER 0.47UF 50V Y5V 0603"
"CL21A106KAYNNNE","C0805_MD","","Ceramic","","CL21A106KAYNNNE","X5R","","Samsung Electro-Mechanics America, Inc","SMD","Digi-Key","","","","","","1276-2891-1-ND","","","","","","10uF","25V","*","C?","CAP CER 10UF 25V 10% X5R 0805"
"CL21B106KOQNNNG","C0805_MD","","Ceramic","","CL21B106KOQNNNG","X7R","","Samsung Electro-Mechanics America, Inc.","SMD","Avnet","Digi-Key","","","","","CL21B106KOQNNNG","1276-6472-1-ND","","","","","10uF","16V","*","C?","CAP CER 10UF 16V X7R 0805"
"CL31B106KBHNNNE","C1206_MD","","Ceramic","","CL31B106KBHNNNE","X7R","","Samsung Electro-Mechanics America, Inc.","SMD","Avnet","Digi-Key","","","","","CL31B106KBHNNNE","1276-6767-1-ND","","","","","10uF","50V","*","C?","CAP CER 10UF 50V X7R 1206"
"CL31B475KBHNNNE","C1206_MD","","Ceramic","","CL31B475KBHNNNE","X7R","","Samsung Electro-Mechanics America, Inc.","SMD","Avnet","Digi-Key","","","","","CL31B475KBHNNNE/BKN","1276-2789-1-ND","","","","","4.7uF","50V","*","C?","CAP CER 4.7UF 50V X7R 1206"
"CL31C101JJHNNNE","C1206_MD","","Ceramic","","CL31C101JJHNNNE","C0G","","Samsung Electro-Mechanics America, Inc.","SMD","Digikey","Arrow","","","","","1276-3201-1-ND","CL31C101JJHNNNE","","","","","100pF","2kV","*","C?","CAP CER 100PF 2KV C0G/NP0 1206"
"DEBB33D332KA3B","CAP_CER_NP 0.2IN","","Ceramic","","DEBB33D332KA3B","*","","Murata Electronics North America","PTH","Mouser","Digi-Key","","","","","81-DEBB33D332KA3B","490-4276-ND","","","","","3.3nF","2KV","*","C?","CAP CER 3300PF 2KV RADIAL"
"ECA-1HM100I","CAP_EL_2.0x5.0MM","","Aluminum","","ECA-1HM100I","","","Panasonic Electronic Components","PTH","Farnell","Digi-Key","Newark","Mouser","","","2282220","P10425TB-ND","48W7714","667-ECA-1HM100I","","","10uF","50V","*","C?","CAP ALUM 10UF 20% 50V RADIAL"
"ECA-1HM222","CAP_EL_7.5X16.0MM","","Aluminum","","ECA-1HM222","","","Panasonic Electronic Components","PTH","Digi-Key","Newark","Farnell","","","","P5187-ND","17T5013","1848511","","","","2200uF","50V","*","C?","2200µF 50V Aluminum Capacitors Radial, Can 2000 Hrs @ 85°C"
"EEE-1HA101UP","CAP_EL_SMD_F","","Electrolytic","","EEE-1HA101UP","","","Panasonic Electronic Components","SMD","Farnell","Mouser","Digi-Key","Newark","Allied","","2284817","667-EEE-1HA101UP","PCE3917CT-ND","53W3816","70257994","","100uF","50V","*","C?","CAP ALUM 100UF 50V 20% SMD"
"EEU-FC1E101S","CAP_EL_2.5X6.3MM","","Aluminum","","EEU-FC1E101S","","","Panasonic Electronic Components","PTH","Farnell","Digi-Key","Newark","Mouser","","","1848439","P10269-ND","17T5085","667-EEU-FC1E101S","","","100uF","25V","*","C?","CAP ALUM 100UF 20% 25V RADIAL"
"EEV-TG1E681UQ","CAP_EL_SMD_H","","Aluminum","","EEV-TG1E681UQ","","","Panasonic Electronic Components","SMD","Mouser","Newark","Farnell","Digi-Key","","","667-EEV-TG1E681UQ","53W3920","2326384","PCE3643CT-ND","","","680uF","25V","*","C?","CAP ALUM 680UF 25V 20% SMD"
"EKXG401ELL330ML20S","CAP_EL_7.5X16.0MM","","Eletrolitical","","EKXG401ELL330ML20S","","*","United Chemi-Con","PTH","*","Digi-Key","Farnell","Mouser","","*","","565-1464-ND","1691111","661-EKXG401ELL330ML2","","","33uF","400V","*","C?","CAP ALUM 33UF 20% 400V RADIAL"
"EMK107BB7225MA-T","C0603_MD","","Ceramic","","EMK107BB7225MA-T","X7R","","Taiyo Yuden","SMD","Digi-Key","Avnet","Newark","","","","587-4864-1-ND","EMK107BB7225MA-T","16AC1148","","","","2.2uF","16V","*","C?","CAP CER 2.2UF 16V X7R 0603"
"EMK107F105ZA-T","C0603_MD","","Ceramic","","EMK107F105ZA-T","Y5V","","Taiyo Yuden","SMD","Mouser","Digi-Key","Farnell","Newark","","","963-EMK107F105ZA-T","587-1262-1-ND","1213833","18J2658","","","1uF","16V","*","C?","CAP CER 1UF 16V Y5V 0603"
"EMVA6R3ADA221MF55G","CAP_EL_SMD_D","","Aluminum","","EMVA6R3ADA221MF55G","","","Nichicon","SMD","Digi-Key","","","","","","565-2058-1-ND","","","","","","220uF","16V","*","C?","CAP ALUM 220UF 6.3V 20% SMD"
"FK20X7R2J473K","CAP_CER_NP 0.2IN","","Ceramic","","FK20X7R2J473K","X7R","","TDK Corporation","PTH","Newark","Mouser","Digi-Key","","","","54W8137","810-FK20X7R2J473K","445-2646-ND","","","","0.047uF","630V","*","C?","CAP CER 0.047UF 630V 10% RADIAL"
"FK22X7R2J104K","CAP_CER_NP 0.2IN","","Ceramic","","FK22X7R2J104K","X7R","","TDK Corporation","PTH","","","","","","","","","","","","","0.1uF","630V","*","C?","CAP CER 0.1UF 630V 10% RADIAL"
"FK28C0G1H220J","CAP_CER_NP 0.2IN","","Ceramic","","FK28C0G1H220J","NP0","","TDK Corporation","PTH","","","","","","","","","","","","","22pF","50V","*","C?","CAP CER 22PF 50V 5% RADIAL"
"FK28X7R1H104K","CAP_CER_NP 0.2IN","","Ceramic","","FK28X7R1H104K","X7R","","TDK Corporation","PTH","Newark","Digi-Key","Mouser","","","","44W8978","445-5258-ND","810-FK28X7R1H104K","","","","0.1uF","50V","*","C?","CAP CER 0.1UF 50V 10% RADIAL"
"GJM1555C1H1R2CB01D","C0402_MD","","Ceramic","","GJM1555C1H1R2CB01D","NP0","","Murata Electronics North America","SMD","Digi-Key","Mouser","Newark","Farnell","","","490-3085-1-ND","81-GJM1555C1H1R2CB1D","84W7938","2310300","","","1.2pF","50V","*","C?","CAP CER 1.2PF 50V NP0 0402"
"GJM1555C1H2R7CB01D","C0402_MD","","Ceramic","","GJM1555C1H2R7CB01D","NP0","","Murata Electronics North America","SMD","Digi-Key","Digi-Key","","","","","490-3093-2-ND","490-3093-1-ND","","","","","2.7pF","50V","*","C?","CAP CER 2.7PF 50V NP0 0402"
"GRM1555C1H100JA01D","C0402_MD","","Ceramic","","GRM1555C1H100JA01D","X5R","","Murata Electronics North America","SMD","Arrow","Digi-Key","Newark","Farnell","","","GRM1555C1H100JA01D**MULT","490-5921-1-ND","48W5737","2218834","","","10pF","50V","*","C?","CAP CER 10PF 50V C0G/NP0 0402"
"GRM1555C1H1R2CA01D","C0402_HD","","Ceramic","","GRM1555C1H1R2CA01D","NP0","","Murata Electronics North America","SMD","Newark","Digi-Key","Farnell","Mouser","","","48W5733","490-5927-1-ND","2218843","81-GRM1555C1H1R2CA1D","","","1.2pF","50V","*","C?","CAP CER 1.2PF 50V NP0 0402"
"GRM1555C1H2R2CA01D","C0402_HD","","Ceramic","","GRM1555C1H2R2CA01D","NP0","","Murata Electronics North America","SMD","Farnell","Newark","Mouser","Digi-Key","","","2434609","80X8562","81-GRM1555C1H2R2CA1D","490-5932-1-ND","","","2.2pF","50V","*","C?","CAP CER 2.2PF 50V NP0 0402"
"GRM155R61A475MEAAD","C0402_MD","","Ceramic","","GRM155R61A475MEAAD","X5R","","Murata Electronics","SMD","","","","","","","","","","","","","4.7uF","10V","*","C?","CAP CER 4.7UF 10V X5R 0402"
"GRM155R61E105KA12D","C0402_MD","","Ceramic","","GRM155R61E105KA12D","X5R","","Murata Electronics","SMD","","","","","","","","","","","","","1uF","25V","*","C?","CAP CER 1UF 25V X5R 0402"
"GRM1885C1H180JA01D","C0603_MD","","Ceramic","","GRM1885C1H180JA01D","C0G, NP0","","Murata Electronics North America","SMD","Digi-Key","","","","","","490-1409-1-ND","","","","","","18pF","50V","*","C?","CAP CER 18PF 50V C0G/NP0 0603"
"GRM1885C1H181JA01D","C0603_MD","","Ceramic","","GRM1885C1H181JA01D","NP0","","Murata","SMD","Mouser","Digi-Key","","","","","81-GRM39C181J50","490-1433-1-ND","","","","","180pF","50V","*","C?","CAP CER 180PF 50V 5% NP0 0603"
"GRM1885C1H301JA01D","C0603_MD","","Ceramic","","GRM1885C1H301JA01D","*","","Murata Electronics North America","SMD","Digi-Key","","","","","","490-1438-1-ND","","","","","","300pF","50V","*","C?","CAP CER 300PF 50V 5% NP0 0603"
"GRM1885C1H330JA01D","C0603_MD","","Ceramic","","GRM1885C1H330JA01D","NP0","","Murata","SMD","Newark","Mouser","Digi-Key","Farnell","","","14T3332","81-GRM39C330J50","490-1415-1-ND","1828910","","","33pF","50V","*","C?","CAP CER 33PF 50V 5% NP0 0603"
"GRM1885C1H470JA01D","C0603_MD","","Ceramic","","GRM1885C1H470JA01D","*","","Murata Electronics North America","SMD","Digi-Key","","","","","","490-1419-1-ND","","","","","","47pF","50V","*","C?","CAP CER 47PF 50V 5% NP0 0603"
"GRM188C81C106MA73D","C0603_MD","","Ceramic","","GRM188C81C106MA73D","*","","Murata Electronics North America","SMD","Digi-Key","","","","","","490-7198-1-ND","","","","","","10uF","16V","*","C?","CAP CER 10UF 16V 20% X6S 0603"
"GRM188F51H224ZA01D","C0603_MD","","Ceramic","","GRM188F51H224ZA01D","Y5R","","Murata Electronics North America","SMD","Mouser","Digi-Key","","","","","81-GRM188F51H224ZA01","490-1569-1-ND","","","","","220nF","50V","*","C?","CAP CER 0.22UF 50V Y5V 0603"
"GRM188R60J106ME47D","C0603_MD","","Ceramic","","GRM188R60J106ME47D","X5R","","Murata","SMD","Newark","Mouser","Farnell","Digi-Key","","","24R6334","81-GRM188R60J106ME47","1833804","490-3896-1-ND","","","10uF","6.3V","*","C?","CAP CER 10UF 6.3V 20% X5R 0603"
"GRM188R60J474KA01D","C0603_MD","","Ceramic","","GRM188R60J474KA01D","X5R","","Murata","SMD","Mouser","Digi-Key","","","","","81-GRM188R60J474KA01","490-1548-1-ND","","","","","470nF","6.3V","*","C?","CAP CER 0.47UF 6.3V 10% X5R 0603"
"GRM188R60J475KE19D","C0603_MD","","Ceramic","","GRM188R60J475KE19D","X5R","","Murata Electronics North America","SMD","Digi-Key","","","","","","490-3297-1-ND","","","","","","4.7µF","6.3V","*","C?","CAP CER 4.7UF 6.3V X5R 0603"
"GRM188R60J476ME15D","C0603_MD","","Ceramic","","GRM188R60J476ME15D","X5R","","Murata Electronics","SMD","","","","","","","","","","","","","47uF","6.3V","*","C?","CAP CER 47UF 6.3V X5R 0603"
"GRM188R61A106KE69D","C0603_MD","","Ceramic","","GRM188R61A106KE69D","X5R","","Murata Electronics North America","SMD","Newark","Arrow","Farnell","Digi-Key","","","04X3243","tmOXaZUOwqZwFBELsoaVEVsYh8deCocflpUOLM3SrSYdbDnzZoKbJoITPv75ptcC","2494233","490-10474-1-ND","","","10uF","10V","*","C?","CAP CER 10UF 10V X5R 0603"
"GRM188R61A335KE15D","C0603_MD","","Ceramic","","GRM188R61A335KE15D","X5R","","Murata","SMD","Digi-Key","Mouser","","","","","490-6411-1-ND","81-GRM188R61A335KE5D","","","","","3.3uF","10V","*","C?","CAP CER 3.3UF 10V 10% X5R 0603"
"GRM188R61C105KA93D","C0603_MD","","Ceramic","","GRM188R61C105KA93D","X5R","","Murata Electronics North America","SMD","Digi-Key","","","","","","490-1536-1-ND","","","","","","1uF","16V","*","C?","CAP CER 1UF 16V X5R 0603"
"GRM188R70J105KA01D","C0603_MD","","Ceramic","","GRM188R70J105KA01D","X7R","","Murata Electronics North America","SMD","Digi-Key","","","","","","490-3898-1-ND","","","","","","1µF","6.3V","*","C?","CAP CER 1UF 6.3V X7R 0603"
"GRM188R71C103KA01D","C0603_MD","","Ceramic","","GRM188R71C103KA01D","X7R","","Murata","SMD","Mouser","Digi-Key","","","","","81-GRM18R71C103KA01D","490-1525-1-ND","","","","","10000pF","16V","*","C?","CAP CER 10000PF 16V 10% X7R 0603"
"GRM188R71E104KA01D","C0603_MD","","Ceramic","","GRM188R71E104KA01D","X7R","","Murata Electronics North America","SMD","Digi-Key","","","","","","490-1524-1-ND","","","","","","0.1uF","25V","*","C?","CAP CER 0.1UF 25V X7R 0603"
"GRM188R71E473KA01D","C0603_MD","","Ceramic","","GRM188R71E473KA01D","X7R","","Murata","SMD","Newark","Mouser","Farnell","Digi-Key","","","38K1667","81-GRM39X473K25D","1118180","490-1522-1-ND","","","47nF","25V","*","C?","CAP CER 0.047UF 25V 10% X7R 0603"
"GRM188R71H102KA01D","C0603_MD","","Ceramic","","GRM188R71H102KA01D","X7R","","Murata Electronics North America","SMD","Digi-Key","Farnell","Mouser","Newark","","","490-1494-1-ND","2280879","81-GRM39X102K050","09J2480","","","1000pF","50V","*","C?","CAP CER 1000PF 50V 10% X7R 0603"
"GRM188R71H103JA01D","C0603_MD","","Ceramic","","GRM188R71H103JA01D","X7R","","Murata Electronics North America","SMD","Digi-Key","","","","","","490-9734-1-ND","","","","","","10000pF","50V","*","C?","CAP CER 10000PF 50V X7R 0603"
"GRM188R71H104JA93D","C0603_MD","","Ceramic","","GRM188R71H104JA93D","X7R","","Murata Electronics North America","SMD","Digi-Key","","","","","","490-13406-1-ND","","","","","","0,1uF","50V","*","C?","CAP CER 0.1UF 50V X7R 0603"
"GRM188R71H104KA93D","C0603_MD","","Ceramic","","GRM188R71H104KA93D","X7R","","Murata","SMD","Newark","Digi-Key","Farnell","Mouser","","","38K1670","490-1519-1-ND","1856385","81-GRM39X104K50D","","","0.1uF","50V","*","C?","CAP CER 0.1UF 50V 10% X7R 0603"
"GRM188R71H153KA01D","C0603_MD","","Ceramic","","GRM188R71H153KA01D","X7R","","Murata","SMD","Farnell","Digi-Key","Mouser","Newark","","","1828916","490-1514-1-ND","81-GRM18R71H153KA01D","14T3321","","","15nF","50V","*","C?","CAP CER 0.015UF 50V 10% X7R 0603"
"GRM188R71H183KA01D","C0603_MD","","Ceramic","","GRM188R71H183KA01D","X7R","","Murata","SMD","Digi-Key","Mouser","","","","","490-1516-1-ND","81-GRM39X183K50D","","","","","18nF","50V","*","C?","CAP CER 0.018UF 50V 10% X7R 0603"
"GRM188R71H223JA01D","C0603_MD","","Ceramic","","GRM188R71H223JA01D","X7R","","Murata Electronics North America","SMD","Digi-Key","","","","","","490-14377-1-ND","","","","","","0.022µF","50V","*","C?","CAP CER 0.022UF 50V X7R 0603"
"GRM188R71H392KA01D","C0603_MD","","Ceramic","","GRM188R71H392KA01D","X7R","","Murata","SMD","Digi-Key","Mouser","","","","","490-1504-1-ND","81-GRM39X392K50D","","","","","3.9nF","50V","*","C?","CAP CER 3900PF 50V 10% X7R 0603"
"GRM188R71H821KA01D","C0603_MD","","Ceramic","","GRM188R71H821KA01D","X7R","","Murata","SMD","Digi-Key","Mouser","","","","","490-1493-1-ND","81-GRM39X821K50D","","","","","820pF","50V","*","C?","CAP CER 820PF 50V 10% X7R 0603"
"GRM216R71E103KA01D","C0805_HD","","Capacitor","","GRM216R71E103KA01D","X7R","","Murata Electronics North America","SMD","Digi-Key","","","","","","490-12748-6-ND","","","","","","10000pF","25V","*","C?","CAP CER 10000PF 25V X7R 0805"
"GRM219R61E106KA12D","C0805_MD","","Ceramic","","GRM219R61E106KA12D","X5R","","Murata","SMD","Digi-Key","","","","","","490-7207-1-ND","","","","","","10uF","25V","*","C?","CAP CER 10UF 25V 10% X5R 0805"
"GRM21BR60J226ME39L","C0805_MD","C0805_HD","Ceramic","","GRM21BR60J226ME39L","X5R","","Murata","SMD","Farnell","Newark","Mouser","Arrow","Digi-Key","","1735531","96M1423","81-GRM21R60J226ME39L","41896953S6447286N2606","490-1719-1-ND","","22uF","6.3V","*","C?","CAP CER 22UF 6.3V 20% X5R 0805"
"GRM21BR61A476ME15L","C0805_MD","","Ceramic","","GRM21BR61A476ME15L","X5R","","Murata Electronics North America","SMD","Farnell","Arrow","Mouser","Digikey","","","2611939RL","GRM21BR61A476ME15L","81-GRM21BR61A476ME5L","490-9961-1-ND","","","47uF","10V","*","C?","CAP CER 47UF 10V X5R 0805"
"GRM21BR61C106KE15K","C0805_HD","","CAP CER","","GRM21BR61C106KE15K","X5R","","Murata Electronics North America","SMD","Arrow","Digi-Key","Newark","","","","MfGS4s7yxupSyO3f7wKQyKzb4LVHSCb7zxwcFHm2v0jjRM-Xpb9FWQC1nzZCAqtM","490-6473-6-ND","35R0687","","","","10uF","16V","*","C?","CAP CER 10UF 16V X5R 0805"
"GRM21BR61E475MA12L","C0805_MD","","Ceramic","","GRM21BR61E475MA12L","X5R","","Murata","SMD","Mouser","Digi-Key","","","","","81-GRM21BR61E475MA2L","490-5422-1-ND","","","","","4.7uF","25V","*","C?","CAP CER 4.7UF 25V 20% X5R 0805"
"GRM31CR60J107ME39L","C1206_MD","","Ceramic","","GRM31CR60J107ME39L","X5R","","Murata Electronics North America","SMD","Farnell","Arrow","Newark","Digi-Key","","","2611952","de6w_qffGrrYJnmS_fkG9BmKuDLD2tI_UT6Z6bEXH9BirWDTtGmtott4fUuvrZ15","24R6343","490-4539-1-ND","","","100uF","6.3V","*","C?","CAP CER 100UF 6.3V X5R 1206"
"GRM32ER61A107ME20K","C1210_MD","","Ceramic","","GRM32ER61A107ME20K","X5R","","Murata Electronics North America","SMD","Digi-Key","Mouser","Arrow","Avnet","","","490-14681-1-ND","81-GRM32ER61A107ME0K","GRM32ER61A107ME20K","GRM32ER61A107ME20K","","","100uF","10V","*","C?","CAP CER 100UF 10V X5R 1210"
"GRM32ER71H475KA88L","C1210_MD","","*","","GRM32ER71H475KA88L","*","","Yageo","SMD","Digi-Key","","","","","","490-1864-1-ND","","","","","","4.7uF","50V","*","C?","CAP CER 4.7UF 50V 10% X7R 1210"
"K330J15C0GF5TH5","CAP_CER_DISK 0.1","","Ceramic Capacitors","","K330J15C0GF5TH5","NP0","","Vishay BC Components","PTH","Farnell","Newark","Mouser","Digi-Key","","","3322610","95C1045","594-K330J15C0GF5TH5","BC1036CT-ND","","","33pF","50V","*","C?","CAP CER 33PF 50V NP0 RADIAL"
"LLS1H103MELB","CAP_EL_10X30.0MM","","Aluminum","","LLS1H103MELB","","","Nichicon","PTH","Farnell","Newark","Digi-Key","","","","2333492","97M5106","493-6156-ND","","","","10000uF","50V","*","C?","10000µF 50V Aluminum Capacitors Radial, Can - Snap-In 3000 Hrs @ 85°C"
"LMK212B7105KG-T","C0805_HD","C0805_MD","Ceramic","","LMK212B7105KG-T","X7R","","Taiyo Yuden","SMD","Digi-Key","Newark","Farnell","Mouser","","","587-1285-1-ND","77M8470","1683678","N/A","","","1uF","10V","*","C?","CAP CER 1UF 10V 10% X7R 0805"
"LMK212SD104KG-T","C0805_HD","C0805_MD","Ceramic","","LMK212SD104KG-T","*","","Taiyo Yuden","SMD","","","","","","","","","","","","","100nF","10V","*","C?","CAP CER 0.1UF 10V 10% 0805"
"LMK316BJ476ML-T","C1206_MD","","Ceramic","","LMK316BJ476ML-T","X5R","","Taiyo Yuden","SMD","Digikey","Newark","Mouser","Arrow","Farnell","","587-1780-1-ND","42M3489","963-LMK316BJ476ML-T","LMK316BJ476ML-T**MULT1","2363427","","47uF","10V","*","C?","CAP CER 47UF 10V X5R 1206"
"MC0402B104M160CT","C0402_MD","","Ceramic","","MC0402B104M160CT","X7R","","MULTICOMP PRO","SMD","Newark","","","","","","97Y2073","","","","","+-20%","0.1uF","16V","*","C?","CAP, 0.1µF, 16V, 20%, X7R, 0402"
"PCG1C820MCL1GS","CAP_EL_SMD_D","","Aluminum","","PCG1C820MCL1GS","","","Nichicon","SMD","Digi-Key","","","","","","493-3096-1-ND","","","","","","82uF","16V","*","C?","CAP ALUM 82UF 16V 20% SMD"
"RDER72J224K5E1H03A","CAP_CER_NP 0.2IN","","Ceramic","","RDER72J224K5E1H03A","X7R","","Murata Electronics North America","PTH","Mouser","Digi-Key","","","","","81-RDER72J224K5E1H3A","490-9264-1-ND","","","","","0.22uF","630V","*","C?","CAP CER 0.22UF 630V 10% RADIAL"
"T491A106M016AT","CAP_TANT_SMD_A","","Tantalum","","T491A106M016AT","*","","Kemet","SMD","Digi-Key","","","","","","399-3687-1-ND","","","","","","10uF","16V","*","C?","CAP TANT 10UF 16V 20% 1206"
"T491B106M016AT","CAP_TANT_SMD_B","","Tantalum","","T491B106M016AT","","","Kemet","SMD","Digi-Key","Mouser","Newark","","","","399-3708-1-ND","80-T491B106M016","57K1745","","","","10uF","16V","*","C?","CAP TANT 10UF 16V 20% 1411"
"T525D476M016ATE035","CAP_TANT_SMD_E","","TANT POLY","","T525D476M016ATE035","TANT","","KEMET","SMD","Newark","Digi-Key","","","","","87H4643","399-3284-1-ND","","","","","47uF","16V","*","C?","CAP TANT POLY 47UF 16V 2917 35 mOhm"
"TMK316BBJ226ML-T","C1206_MD","","Ceramic","","TMK316BBJ226ML-T","*","","Taiyo Yuden","SMD","Digi-Key","","","","","","587-3246-1-ND","","","","","","22uF","25V","*","C?","CAP CER 22UF 25V 20% X5R 1206"
"TPSE686M020R0150","CAP_TANT_SMD_E","","CAP TANT","","TPSE686M020R0150","","","AVX Corporation","SMD","Digi-Key","","","","","","478-4151-2-ND","","","","","","68uF","20V","*","C?","CAP TANT 68UF 20V 20% 2917"
"UMK107BJ105KA-T","C0603_MD","","*","","UMK107BJ105KA-T","*","","Taiyo Yuden","SMD","Digi-Key","","","","","","587-2400-1-ND","","","","","","1uF","50V","*","C?","CAP CER 1UF 50V 10% X5R 0603"
"UMK212B7105KG-T","C0805_HD","","Ceramic Capacitor","","UMK212B7105KG-T","X7R","","Taiyo Yuden","SMD","Digi-Key","Farnell","Newark","","","","587-2910-1-ND","2464630","47T1712","","","","1uF","50V","*","C?","CAP CER 1UF 50V X7R 0805"
"UMK212B7224KG-T","C0805_MD","","X7R","","UMK212B7224KG-T","CERAMIC","","Taiyo Yuden","SMD","Farnell","Digi-Key","Farnell","","","","2392359","587-1287-6-ND","2666568","","","","0.22uF","50V","*","C?","CAP CER 0.22UF 50V X7R 0805"
"UMK212BJ104KGHT","C0805_MD","","Ceramic Capacitor","","UMK212BJ104KGHT","X5R","","Taiyo Yuden","SMD","Newark","Digi-Key","","","","","68X1782","587-3512-1-ND","","","","","0.1uF","50V","*","C?","CAP CER 0.1UF 50V X5R 0805"
"UMK316B7105KL-T","C1206_MD","","CAP","","UMK316B7105KL-T","CER","","Taiyo Yuden","SMD","Farnell","Newark","Digi-Key","","","","1458913","84R9164","587-2230-1-ND","","","","1uF","50V","*","C?","CAP CER 1UF 50V X7R 1206"
"UMK316BBJ106ML-T","C1210_MD","C1206_MD","Capacitor","","UMK316BBJ106ML-T","CER","","Taiyo Yuden","SMD","Digi-Key","Digi-Key","Farnell","Newark","","","587-3248-1-ND","587-3248-6-ND","2779059","29X1409","","","10uF","50V","*","C?","CAP CER 10UF 50V X5R 1206"
"UMK325BJ106MM-T","C1210_MD","","Capacitor","","UMK325BJ106MM-T","CER","","Taiyo Yuden","SMD","Newark","Farnell","Digi-Key","","","","08P5202","1683595","587-2225-6-ND","","","","10uF","50V","*","C?","CAP CER 10UF 50V X5R 1210"
"UPM1A102MPD1TD","CAP_EL_7.5X16.0MM","","Eletrolitical","","UPM1A102MPD1TD","","","Nichicon","PTH","Newark","Farnell","Digi-Key","","","","65R3529","2479369","493-11904-1-ND","","","","1000uF","10V","*","C?","CAP ALUM 1000UF 20% 10V RADIAL"
"UPW1H220MDD1TD","CAP_EL_2.0x5.0MM","","Eletrolitical","","UPW1H220MDD1TD","","","Nichicon","PTH","Newark","Mouser","Digi-Key","","","","65R4110","647-UPW1H220MDD1TD","493-11357-1-ND","","","","22uF","50V","*","C?","CAP ALUM 22UF 20% 50V RADIAL"
"UPW1V471MPD1TD","CAP_EL_5X10MM","","Eletrolitical","","UPW1V471MPD1TD","","","Nichicon","PTH","Farnell","Newark","Mouser","Digi-Key","","","1818654","65R4249","647-UPW1V471MPD1TD","493-11916-1-ND","","","470uF","35V","*","C?","CAP ALUM 470UF 20% 35V RADIAL"
"UUD1H560MNL1GS","CAP_EL_SMD_F","","Aluminum","","UUD1H560MNL1GS","","","Nichicon","SMD","Newark","Digi-Key","","","","","55K1056","493-2304-1-ND","","","","","56uF","50V","*","C?","56µF 50V Aluminum Capacitors Radial, Can - SMD 5000 Hrs @ 105°C"
"UVR1H010MDD6TP","CAP_EL_2.0x5.0MM","","Aluminum Capacitors","","UVR1H010MDD6TP","","","Nichicon","PTH","Digi-Key","Mouser","","","","","493-12782-1-ND","647-UVR1H010MDD6TP","","","","","1uF","50V","*","C?","CAP ALUM 1UF 20% 50V RADIAL"
"UWT1V470MCL1GS","CAP_EL_SMD_D","","Aluminum","","UWT1V470MCL1GS","","","Nichicon","SMD","Digi-Key","Newark","Farnell","","","","493-2202-1-ND","58R3600","1823602","","","","47uF","35V","*","C?","47µF 35V Aluminum Capacitors Radial, Can - SMD 1000 Hrs @ 105°C"
"VJ0603Y103JXAAC","C0603_HD","","Cap Ceramic","","VJ0603Y103JXAAC","X7R","","Vishay Vitramon","SMD","Digi-Key","","","","","","720-1375-1-ND","","","","","","10000pF","50V","*","C?","CAP CER 10000PF 50V X7R 0603"
